dem,eleccion,sec,id_cas,ln,pe,pan,pri,prd,pvem,pt,mc,na,morena,ph,eas,pri_pvem,prd_pt,cnr,nulos,totales,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_p,pvem_p,pt_p,mc_p,na_p,morena_p,ph_p,es_p,pri_pvem_p,prd_pt_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_p,coal_pri_pvem_p,coal_prd_pt_,coal_morena_p,coal_mc_p,coal_otros_,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
BENITO JUAREZ,2015,4397,4397-C1,654,688,130,24,11,10,1,23,2,39,7,18,0,0,0,24,289,130,39,24,91,0.3148788927,15,0.0519031142,0.4418960245,44.98%,8.30%,3.81%,3.46%,0.35%,7.96%,0.69%,13.49%,2.42%,6.23%,0.00%,0.00%,0.00%,8.30%,100.00%,44.98%,13.49%,8.30%,PAN,MORENA,PRI,44.98%,11.76%,4.15%,13.49%,7.96%,17.65%,100.00%,44.98%,13.49%,11.76%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4398,4398-B,670,708,138,40,22,12,1,16,4,42,6,13,0,0,1,29,324,138,42,40,96,0.2962962963,2,0.0061728395,0.4835820896,42.59%,12.35%,6.79%,3.70%,0.31%,4.94%,1.23%,12.96%,1.85%,4.01%,0.00%,0.00%,0.31%,8.95%,100.00%,42.59%,12.96%,12.35%,PAN,MORENA,PRI,42.59%,16.05%,7.10%,12.96%,4.94%,16.36%,100.00%,42.59%,16.05%,12.96%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4398,4398-C1,669,707,140,28,14,13,2,20,5,38,11,10,0,0,3,20,304,140,38,28,102,0.3355263158,10,0.0328947368,0.4544095665,46.05%,9.21%,4.61%,4.28%,0.66%,6.58%,1.64%,12.50%,3.62%,3.29%,0.00%,0.00%,0.99%,6.58%,100.00%,46.05%,12.50%,9.21%,PAN,MORENA,PRI,46.05%,13.49%,5.26%,12.50%,6.58%,16.12%,100.00%,46.05%,13.49%,12.50%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4399,4399-B,575,600,138,25,21,9,2,11,2,43,6,12,3,0,0,24,296,138,43,25,95,0.3209459459,18,0.0608108108,0.5147826087,46.62%,8.45%,7.09%,3.04%,0.68%,3.72%,0.68%,14.53%,2.03%,4.05%,1.01%,0.00%,0.00%,8.11%,100.00%,46.62%,14.53%,8.45%,PAN,MORENA,PRI,46.62%,12.50%,7.77%,14.53%,3.72%,14.86%,100.00%,46.62%,14.53%,12.50%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4399,4399-C1,575,599,150,27,14,9,2,21,2,48,4,6,0,0,3,11,297,150,48,27,102,0.3434343434,21,0.0707070707,0.5165217391,50.51%,9.09%,4.71%,3.03%,0.67%,7.07%,0.67%,16.16%,1.35%,2.02%,0.00%,0.00%,1.01%,3.70%,100.00%,50.51%,16.16%,9.09%,PAN,MORENA,PRI,50.51%,12.12%,5.39%,16.16%,7.07%,8.75%,100.00%,50.51%,16.16%,12.12%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4399,4399-C2,575,599,118,18,27,10,1,28,2,43,2,10,0,0,1,15,275,118,43,28,75,0.2727272727,15,0.0545454545,0.4782608696,42.91%,6.55%,9.82%,3.64%,0.36%,10.18%,0.73%,15.64%,0.73%,3.64%,0.00%,0.00%,0.36%,5.45%,100.00%,42.91%,15.64%,10.18%,PAN,MORENA,MC,42.91%,10.18%,10.18%,15.64%,10.18%,10.91%,100.00%,42.91%,15.64%,10.18%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4400,4400-B,505,522,110,26,19,8,5,12,6,41,3,12,2,1,1,15,261,110,41,26,69,0.2643678161,15,0.0574712644,0.5168316832,42.15%,9.96%,7.28%,3.07%,1.92%,4.60%,2.30%,15.71%,1.15%,4.60%,0.77%,0.38%,0.38%,5.75%,100.00%,42.15%,15.71%,9.96%,PAN,MORENA,PRI,42.15%,13.79%,9.58%,15.71%,4.60%,14.18%,100.00%,42.15%,15.71%,13.79%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4401,4401-B,609,627,79,17,41,24,4,8,6,50,5,20,0,0,0,22,276,79,50,41,29,0.1050724638,9,0.0326086957,0.4532019704,28.62%,6.16%,14.86%,8.70%,1.45%,2.90%,2.17%,18.12%,1.81%,7.25%,0.00%,0.00%,0.00%,7.97%,100.00%,28.62%,18.12%,14.86%,PAN,MORENA,PRD,28.62%,14.86%,16.30%,18.12%,2.90%,19.20%,100.00%,28.62%,18.12%,16.30%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4401,4401-C1,609,626,67,21,29,13,6,10,7,54,12,15,0,0,4,21,259,67,54,29,13,0.0501930502,25,0.0965250965,0.4252873563,25.87%,8.11%,11.20%,5.02%,2.32%,3.86%,2.70%,20.85%,4.63%,5.79%,0.00%,0.00%,1.54%,8.11%,100.00%,25.87%,20.85%,11.20%,PAN,MORENA,PRD,25.87%,13.13%,13.51%,20.85%,3.86%,22.78%,100.00%,25.87%,20.85%,13.51%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4401,4401-C2,608,626,85,26,47,10,5,13,7,62,4,18,1,0,1,22,301,85,62,47,23,0.0764119601,15,0.0498338870,0.4950657895,28.24%,8.64%,15.61%,3.32%,1.66%,4.32%,2.33%,20.60%,1.33%,5.98%,0.33%,0.00%,0.33%,7.31%,100.00%,28.24%,20.60%,15.61%,PAN,MORENA,PRD,28.24%,12.29%,17.28%,20.60%,4.32%,17.28%,100.00%,28.24%,20.60%,17.28%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4402,4402-B,451,464,68,24,29,6,1,3,5,33,10,10,0,0,0,14,203,68,33,29,35,0.1724137931,4,0.0197044335,0.4501108647,33.50%,11.82%,14.29%,2.96%,0.49%,1.48%,2.46%,16.26%,4.93%,4.93%,0.00%,0.00%,0.00%,6.90%,100.00%,33.50%,16.26%,14.29%,PAN,MORENA,PRD,33.50%,14.78%,14.78%,16.26%,1.48%,19.21%,100.00%,33.50%,16.26%,14.78%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4402,4402-C1,450,464,71,26,30,9,2,8,5,21,5,8,0,0,1,13,199,71,30,26,41,0.2060301508,4,0.0201005025,0.4422222222,35.68%,13.07%,15.08%,4.52%,1.01%,4.02%,2.51%,10.55%,2.51%,4.02%,0.00%,0.00%,0.50%,6.53%,100.00%,35.68%,15.08%,13.07%,PAN,PRD,PRI,35.68%,17.59%,16.08%,10.55%,4.02%,16.08%,100.00%,35.68%,17.59%,16.08%,PAN,PRI_PVEM,PRD_PT
BENITO JUAREZ,2015,4403,4403-B,644,660,136,26,25,12,5,16,5,60,16,14,0,0,2,29,346,136,60,26,76,0.2196531792,34,0.0982658960,0.5372670807,39.31%,7.51%,7.23%,3.47%,1.45%,4.62%,1.45%,17.34%,4.62%,4.05%,0.00%,0.00%,0.58%,8.38%,100.00%,39.31%,17.34%,7.51%,PAN,MORENA,PRI,39.31%,10.98%,8.67%,17.34%,4.62%,19.08%,100.00%,39.31%,17.34%,10.98%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4404,4404-B,599,621,104,26,29,14,11,11,8,67,7,8,0,0,1,19,305,104,67,29,37,0.1213114754,38,0.1245901639,0.5091819699,34.10%,8.52%,9.51%,4.59%,3.61%,3.61%,2.62%,21.97%,2.30%,2.62%,0.00%,0.00%,0.33%,6.23%,100.00%,34.10%,21.97%,9.51%,PAN,MORENA,PRD,34.10%,13.11%,13.11%,21.97%,3.61%,14.10%,100.00%,34.10%,21.97%,13.11%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4404,4404-C1,598,620,105,28,26,15,5,8,7,66,7,21,0,0,1,23,312,105,66,28,39,0.1250000000,38,0.1217948718,0.5217391304,33.65%,8.97%,8.33%,4.81%,1.60%,2.56%,2.24%,21.15%,2.24%,6.73%,0.00%,0.00%,0.32%,7.37%,100.00%,33.65%,21.15%,8.97%,PAN,MORENA,PRI,33.65%,13.78%,9.94%,21.15%,2.56%,18.91%,100.00%,33.65%,21.15%,13.78%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4404,4404-C2,598,620,104,31,24,10,6,15,8,53,16,20,0,0,1,23,311,104,53,31,51,0.1639871383,22,0.0707395498,0.5200668896,33.44%,9.97%,7.72%,3.22%,1.93%,4.82%,2.57%,17.04%,5.14%,6.43%,0.00%,0.00%,0.32%,7.40%,100.00%,33.44%,17.04%,9.97%,PAN,MORENA,PRI,33.44%,13.18%,9.65%,17.04%,4.82%,21.86%,100.00%,33.44%,17.04%,13.18%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4405,4405-B,615,638,77,27,33,14,2,12,2,46,8,24,1,0,1,29,276,77,46,33,31,0.1123188406,13,0.0471014493,0.4487804878,27.90%,9.78%,11.96%,5.07%,0.72%,4.35%,0.72%,16.67%,2.90%,8.70%,0.36%,0.00%,0.36%,10.51%,100.00%,27.90%,16.67%,11.96%,PAN,MORENA,PRD,27.90%,15.22%,12.68%,16.67%,4.35%,23.19%,100.00%,27.90%,16.67%,15.22%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4405,4405-C1,615,638,83,30,24,8,4,13,2,40,14,24,2,1,1,24,270,83,40,30,43,0.1592592593,10,0.0370370370,0.4390243902,30.74%,11.11%,8.89%,2.96%,1.48%,4.81%,0.74%,14.81%,5.19%,8.89%,0.74%,0.37%,0.37%,8.89%,100.00%,30.74%,14.81%,11.11%,PAN,MORENA,PRI,30.74%,14.81%,10.74%,14.81%,4.81%,24.07%,100.00%,30.74%,14.81%,14.81%,PAN,MORENA,MORENA
BENITO JUAREZ,2015,4405,4405-C2,614,638,76,23,29,17,8,14,4,62,10,8,1,0,1,21,274,76,62,29,14,0.0510948905,33,0.1204379562,0.4462540717,27.74%,8.39%,10.58%,6.20%,2.92%,5.11%,1.46%,22.63%,3.65%,2.92%,0.36%,0.00%,0.36%,7.66%,100.00%,27.74%,22.63%,10.58%,PAN,MORENA,PRD,27.74%,14.96%,13.50%,22.63%,5.11%,16.06%,100.00%,27.74%,22.63%,14.96%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4406,4406-B,695,723,68,29,44,23,5,17,4,63,8,24,0,0,1,19,305,68,63,44,5,0.0163934426,19,0.0622950820,0.4388489209,22.30%,9.51%,14.43%,7.54%,1.64%,5.57%,1.31%,20.66%,2.62%,7.87%,0.00%,0.00%,0.33%,6.23%,100.00%,22.30%,20.66%,14.43%,PAN,MORENA,PRD,22.30%,17.05%,16.07%,20.66%,5.57%,18.36%,100.00%,22.30%,20.66%,17.05%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4406,4406-C1,694,723,75,36,53,8,5,9,10,9,44,16,18,0,0,0,283,75,53,44,22,0.0777385159,9,0.0318021201,0.4077809798,26.50%,12.72%,18.73%,2.83%,1.77%,3.18%,3.53%,3.18%,15.55%,5.65%,6.36%,0.00%,0.00%,0.00%,100.00%,26.50%,18.73%,15.55%,PAN,PRD,PH,26.50%,21.91%,20.49%,3.18%,3.18%,24.73%,100.00%,26.50%,21.91%,20.49%,PAN,PRI_PVEM,PRD_PT
BENITO JUAREZ,2015,4407,4407-B,381,398,38,14,18,4,3,14,4,38,2,4,0,1,1,8,149,38,38,18,0,0.0000000000,20,0.1342281879,0.3910761155,25.50%,9.40%,12.08%,2.68%,2.01%,9.40%,2.68%,25.50%,1.34%,2.68%,0.00%,0.67%,0.67%,5.37%,100.00%,25.50%,25.50%,12.08%,PAN,PAN,PRD,25.50%,12.08%,14.77%,25.50%,9.40%,12.75%,100.00%,25.50%,25.50%,14.77%,PAN,PAN,PRD_PT
BENITO JUAREZ,2015,4407,4407-C1,381,397,32,17,19,7,4,7,2,43,7,6,0,1,0,9,154,43,32,19,11,0.0714285714,13,0.0844155844,0.4041994751,20.78%,11.04%,12.34%,4.55%,2.60%,4.55%,1.30%,27.92%,4.55%,3.90%,0.00%,0.65%,0.00%,5.84%,100.00%,27.92%,20.78%,12.34%,MORENA,PAN,PRD,20.78%,15.58%,15.58%,27.92%,4.55%,15.58%,100.00%,27.92%,20.78%,15.58%,MORENA,PAN,PRD_PT
BENITO JUAREZ,2015,4408,4408-B,532,566,93,31,17,8,3,9,2,38,7,15,1,0,1,27,252,93,38,31,55,0.2182539683,7,0.0277777778,0.4736842105,36.90%,12.30%,6.75%,3.17%,1.19%,3.57%,0.79%,15.08%,2.78%,5.95%,0.40%,0.00%,0.40%,10.71%,100.00%,36.90%,15.08%,12.30%,PAN,MORENA,PRI,36.90%,15.87%,7.94%,15.08%,3.57%,20.63%,100.00%,36.90%,15.87%,15.08%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4408,4408-C1,531,565,88,27,20,6,2,8,4,29,10,13,0,0,0,26,233,88,29,27,59,0.2532188841,2,0.0085836910,0.4387947269,37.77%,11.59%,8.58%,2.58%,0.86%,3.43%,1.72%,12.45%,4.29%,5.58%,0.00%,0.00%,0.00%,11.16%,100.00%,37.77%,12.45%,11.59%,PAN,MORENA,PRI,37.77%,14.16%,9.44%,12.45%,3.43%,22.75%,100.00%,37.77%,14.16%,12.45%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4409,4409-B,704,740,142,33,15,10,1,11,2,37,9,9,1,0,1,28,299,142,37,33,105,0.3511705686,4,0.0133779264,0.4247159091,47.49%,11.04%,5.02%,3.34%,0.33%,3.68%,0.67%,12.37%,3.01%,3.01%,0.33%,0.00%,0.33%,9.36%,100.00%,47.49%,12.37%,11.04%,PAN,MORENA,PRI,47.49%,14.72%,5.35%,12.37%,3.68%,16.39%,100.00%,47.49%,14.72%,12.37%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4409,4409-C1,703,740,129,36,31,9,2,10,2,35,6,14,0,0,3,15,292,129,36,35,93,0.3184931507,1,0.0034246575,0.4153627312,44.18%,12.33%,10.62%,3.08%,0.68%,3.42%,0.68%,11.99%,2.05%,4.79%,0.00%,0.00%,1.03%,5.14%,100.00%,44.18%,12.33%,11.99%,PAN,PRI,MORENA,44.18%,15.41%,11.30%,11.99%,3.42%,13.70%,100.00%,44.18%,15.41%,11.99%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4410,4410-B,676,699,169,23,19,11,4,12,8,35,6,19,0,0,3,29,338,169,35,23,134,0.3964497041,12,0.0355029586,0.5000000000,50.00%,6.80%,5.62%,3.25%,1.18%,3.55%,2.37%,10.36%,1.78%,5.62%,0.00%,0.00%,0.89%,8.58%,100.00%,50.00%,10.36%,6.80%,PAN,MORENA,PRI,50.00%,10.06%,6.80%,10.36%,3.55%,19.23%,100.00%,50.00%,10.36%,10.06%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4410,4410-C1,675,699,124,27,24,6,2,13,5,43,11,12,1,0,0,32,300,124,43,27,81,0.2700000000,16,0.0533333333,0.4444444444,41.33%,9.00%,8.00%,2.00%,0.67%,4.33%,1.67%,14.33%,3.67%,4.00%,0.33%,0.00%,0.00%,10.67%,100.00%,41.33%,14.33%,9.00%,PAN,MORENA,PRI,41.33%,11.33%,8.67%,14.33%,4.33%,20.00%,100.00%,41.33%,14.33%,11.33%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4410,4410-C2,675,699,131,30,29,4,4,12,6,50,7,7,1,0,1,31,313,131,50,30,81,0.2587859425,20,0.0638977636,0.4637037037,41.85%,9.58%,9.27%,1.28%,1.28%,3.83%,1.92%,15.97%,2.24%,2.24%,0.32%,0.00%,0.32%,9.90%,100.00%,41.85%,15.97%,9.58%,PAN,MORENA,PRI,41.85%,11.18%,10.54%,15.97%,3.83%,16.61%,100.00%,41.85%,15.97%,11.18%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4411,4411-B,561,582,114,23,25,10,4,22,5,68,14,15,0,0,1,14,315,114,68,25,46,0.1460317460,43,0.1365079365,0.5614973262,36.19%,7.30%,7.94%,3.17%,1.27%,6.98%,1.59%,21.59%,4.44%,4.76%,0.00%,0.00%,0.32%,4.44%,100.00%,36.19%,21.59%,7.94%,PAN,MORENA,PRD,36.19%,10.48%,9.21%,21.59%,6.98%,15.56%,100.00%,36.19%,21.59%,10.48%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4411,4411-C1,561,581,109,25,11,4,2,5,3,43,11,11,1,0,0,25,250,109,43,25,66,0.2640000000,18,0.0720000000,0.4456327986,43.60%,10.00%,4.40%,1.60%,0.80%,2.00%,1.20%,17.20%,4.40%,4.40%,0.40%,0.00%,0.00%,10.00%,100.00%,43.60%,17.20%,10.00%,PAN,MORENA,PRI,43.60%,12.00%,5.20%,17.20%,2.00%,20.00%,100.00%,43.60%,17.20%,12.00%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4411,4411-C2,561,581,98,37,27,13,3,10,2,42,9,9,1,0,0,26,277,98,42,37,56,0.2021660650,5,0.0180505415,0.4937611408,35.38%,13.36%,9.75%,4.69%,1.08%,3.61%,0.72%,15.16%,3.25%,3.25%,0.36%,0.00%,0.00%,9.39%,100.00%,35.38%,15.16%,13.36%,PAN,MORENA,PRI,35.38%,18.41%,10.83%,15.16%,3.61%,16.61%,100.00%,35.38%,18.41%,15.16%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4412,4412-B,590,611,118,25,18,11,2,10,8,55,12,14,1,1,0,19,294,118,55,25,63,0.2142857143,30,0.1020408163,0.4983050847,40.14%,8.50%,6.12%,3.74%,0.68%,3.40%,2.72%,18.71%,4.08%,4.76%,0.34%,0.34%,0.00%,6.46%,100.00%,40.14%,18.71%,8.50%,PAN,MORENA,PRI,40.14%,12.59%,7.14%,18.71%,3.40%,18.03%,100.00%,40.14%,18.71%,12.59%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4412,4412-C1,589,610,115,36,23,8,0,10,2,38,12,17,3,0,0,22,286,115,38,36,77,0.2692307692,2,0.0069930070,0.4855687606,40.21%,12.59%,8.04%,2.80%,0.00%,3.50%,0.70%,13.29%,4.20%,5.94%,1.05%,0.00%,0.00%,7.69%,100.00%,40.21%,13.29%,12.59%,PAN,MORENA,PRI,40.21%,16.43%,8.04%,13.29%,3.50%,18.53%,100.00%,40.21%,16.43%,13.29%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4412,4412-C2,589,610,120,34,18,9,2,16,7,46,8,9,0,0,1,25,295,120,46,34,74,0.2508474576,12,0.0406779661,0.5008488964,40.68%,11.53%,6.10%,3.05%,0.68%,5.42%,2.37%,15.59%,2.71%,3.05%,0.00%,0.00%,0.34%,8.47%,100.00%,40.68%,15.59%,11.53%,PAN,MORENA,PRI,40.68%,14.58%,6.78%,15.59%,5.42%,16.95%,100.00%,40.68%,15.59%,14.58%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4413,4413-B,615,636,85,32,19,43,5,8,12,43,6,14,1,0,0,15,283,85,43,43,42,0.1484098940,0,0.0000000000,0.4601626016,30.04%,11.31%,6.71%,15.19%,1.77%,2.83%,4.24%,15.19%,2.12%,4.95%,0.35%,0.00%,0.00%,5.30%,100.00%,30.04%,15.19%,15.19%,PAN,MORENA,MORENA,30.04%,26.86%,8.48%,15.19%,2.83%,16.61%,100.00%,30.04%,26.86%,15.19%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4413,4413-C1,615,635,95,37,18,29,1,9,2,39,7,8,5,0,0,22,272,95,39,37,56,0.2058823529,2,0.0073529412,0.4422764228,34.93%,13.60%,6.62%,10.66%,0.37%,3.31%,0.74%,14.34%,2.57%,2.94%,1.84%,0.00%,0.00%,8.09%,100.00%,34.93%,14.34%,13.60%,PAN,MORENA,PRI,34.93%,26.10%,6.99%,14.34%,3.31%,14.34%,100.00%,34.93%,26.10%,14.34%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4414,4414-B,571,596,110,22,16,9,3,19,6,42,5,19,2,0,0,17,270,110,42,22,68,0.2518518519,20,0.0740740741,0.4728546410,40.74%,8.15%,5.93%,3.33%,1.11%,7.04%,2.22%,15.56%,1.85%,7.04%,0.74%,0.00%,0.00%,6.30%,100.00%,40.74%,15.56%,8.15%,PAN,MORENA,PRI,40.74%,12.22%,7.04%,15.56%,7.04%,17.41%,100.00%,40.74%,15.56%,12.22%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4414,4414-C1,571,596,105,25,12,14,1,30,4,51,6,16,1,0,2,26,293,105,51,30,54,0.1843003413,21,0.0716723549,0.5131348511,35.84%,8.53%,4.10%,4.78%,0.34%,10.24%,1.37%,17.41%,2.05%,5.46%,0.34%,0.00%,0.68%,8.87%,100.00%,35.84%,17.41%,10.24%,PAN,MORENA,MC,35.84%,13.65%,4.44%,17.41%,10.24%,18.43%,100.00%,35.84%,17.41%,13.65%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4414,4414-C2,570,595,113,31,15,15,1,16,8,49,8,12,0,0,0,18,286,113,49,31,64,0.2237762238,18,0.0629370629,0.5017543860,39.51%,10.84%,5.24%,5.24%,0.35%,5.59%,2.80%,17.13%,2.80%,4.20%,0.00%,0.00%,0.00%,6.29%,100.00%,39.51%,17.13%,10.84%,PAN,MORENA,PRI,39.51%,16.08%,5.59%,17.13%,5.59%,16.08%,100.00%,39.51%,17.13%,16.08%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4415,4415-B,511,533,90,23,24,11,3,17,3,48,2,10,0,0,3,18,252,90,48,24,42,0.1666666667,24,0.0952380952,0.4931506849,35.71%,9.13%,9.52%,4.37%,1.19%,6.75%,1.19%,19.05%,0.79%,3.97%,0.00%,0.00%,1.19%,7.14%,100.00%,35.71%,19.05%,9.52%,PAN,MORENA,PRD,35.71%,13.49%,10.71%,19.05%,6.75%,14.29%,100.00%,35.71%,19.05%,13.49%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4415,4415-C1,510,532,73,19,20,9,2,18,5,46,9,11,0,1,4,26,243,73,46,20,27,0.1111111111,26,0.1069958848,0.4764705882,30.04%,7.82%,8.23%,3.70%,0.82%,7.41%,2.06%,18.93%,3.70%,4.53%,0.00%,0.41%,1.65%,10.70%,100.00%,30.04%,18.93%,8.23%,PAN,MORENA,PRD,30.04%,11.52%,9.47%,18.93%,7.41%,22.63%,100.00%,30.04%,18.93%,11.52%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4416,4416-B,450,479,90,23,16,2,0,7,0,29,5,7,2,0,0,18,199,90,29,23,61,0.3065326633,6,0.0301507538,0.4422222222,45.23%,11.56%,8.04%,1.01%,0.00%,3.52%,0.00%,14.57%,2.51%,3.52%,1.01%,0.00%,0.00%,9.05%,100.00%,45.23%,14.57%,11.56%,PAN,MORENA,PRI,45.23%,13.57%,8.04%,14.57%,3.52%,15.08%,100.00%,45.23%,14.57%,13.57%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4416,4416-C1,450,479,78,27,14,6,2,6,2,33,3,7,1,0,0,13,192,78,33,27,45,0.2343750000,6,0.0312500000,0.4266666667,40.63%,14.06%,7.29%,3.13%,1.04%,3.13%,1.04%,17.19%,1.56%,3.65%,0.52%,0.00%,0.00%,6.77%,100.00%,40.63%,17.19%,14.06%,PAN,MORENA,PRI,40.63%,17.71%,8.33%,17.19%,3.13%,13.02%,100.00%,40.63%,17.71%,17.19%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4417,4417-B,509,533,79,21,11,5,3,5,2,26,8,15,1,1,0,35,212,79,26,21,53,0.2500000000,5,0.0235849057,0.4165029470,37.26%,9.91%,5.19%,2.36%,1.42%,2.36%,0.94%,12.26%,3.77%,7.08%,0.47%,0.47%,0.00%,16.51%,100.00%,37.26%,12.26%,9.91%,PAN,MORENA,PRI,37.26%,12.74%,7.08%,12.26%,2.36%,28.30%,100.00%,37.26%,12.74%,12.26%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4417,4417-C1,509,533,94,18,17,6,2,7,2,25,10,11,0,1,0,21,214,94,25,18,69,0.3224299065,7,0.0327102804,0.4204322200,43.93%,8.41%,7.94%,2.80%,0.93%,3.27%,0.93%,11.68%,4.67%,5.14%,0.00%,0.47%,0.00%,9.81%,100.00%,43.93%,11.68%,8.41%,PAN,MORENA,PRI,43.93%,11.21%,9.35%,11.68%,3.27%,20.56%,100.00%,43.93%,11.68%,11.21%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4417,4417-C2,509,533,106,17,29,9,2,11,5,47,5,11,0,0,1,22,265,106,47,29,59,0.2226415094,18,0.0679245283,0.5206286837,40.00%,6.42%,10.94%,3.40%,0.75%,4.15%,1.89%,17.74%,1.89%,4.15%,0.00%,0.00%,0.38%,8.30%,100.00%,40.00%,17.74%,10.94%,PAN,MORENA,PRD,40.00%,9.81%,11.70%,17.74%,4.15%,16.60%,100.00%,40.00%,17.74%,11.70%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4418,4418-B,563,593,128,23,18,11,0,10,3,43,9,15,1,0,1,21,283,128,43,23,85,0.3003533569,20,0.0706713781,0.5026642984,45.23%,8.13%,6.36%,3.89%,0.00%,3.53%,1.06%,15.19%,3.18%,5.30%,0.35%,0.00%,0.35%,7.42%,100.00%,45.23%,15.19%,8.13%,PAN,MORENA,PRI,45.23%,12.37%,6.36%,15.19%,3.53%,17.31%,100.00%,45.23%,15.19%,12.37%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4418,4418-C1,562,593,116,27,22,10,2,11,1,35,6,13,0,0,1,16,260,116,35,27,81,0.3115384615,8,0.0307692308,0.4626334520,44.62%,10.38%,8.46%,3.85%,0.77%,4.23%,0.38%,13.46%,2.31%,5.00%,0.00%,0.00%,0.38%,6.15%,100.00%,44.62%,13.46%,10.38%,PAN,MORENA,PRI,44.62%,14.23%,9.23%,13.46%,4.23%,14.23%,100.00%,44.62%,14.23%,13.46%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4419,4419-B,551,578,112,17,28,10,4,11,6,42,11,13,0,0,1,31,286,112,42,28,70,0.2447552448,14,0.0489510490,0.5190562613,39.16%,5.94%,9.79%,3.50%,1.40%,3.85%,2.10%,14.69%,3.85%,4.55%,0.00%,0.00%,0.35%,10.84%,100.00%,39.16%,14.69%,9.79%,PAN,MORENA,PRD,39.16%,9.44%,11.19%,14.69%,3.85%,21.68%,100.00%,39.16%,14.69%,11.19%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4419,4419-C1,551,578,99,26,15,11,3,9,2,51,8,10,1,0,1,22,258,99,51,26,48,0.1860465116,25,0.0968992248,0.4682395644,38.37%,10.08%,5.81%,4.26%,1.16%,3.49%,0.78%,19.77%,3.10%,3.88%,0.39%,0.00%,0.39%,8.53%,100.00%,38.37%,19.77%,10.08%,PAN,MORENA,PRI,38.37%,14.73%,6.98%,19.77%,3.49%,16.67%,100.00%,38.37%,19.77%,14.73%,PAN,MORENA,PRI_PVEM
